run_id,recipe,recipe_label,classifier,classifier_label,base,subject,delta_accuracy,baseline_accuracy_mean,processed_accuracy_mean,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,primary_independent_unit,source_file
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A07,-0.0828880866425992,0.5610108303249097,0.4781227436823104,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A08,-0.0853136531365313,0.7800738007380074,0.694760147601476,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A09,0.0127272727272727,0.6840909090909091,0.6968181818181818,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A01,-0.0376960590483722,0.5709766706207987,0.5332806115724266,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A02,0.0283994241591414,0.2520612485276796,0.2804606726868211,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A03,0.0073260073260073,0.5759055759055759,0.5832315832315832,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A04,-0.0053606237816764,0.3689083820662768,0.3635477582846004,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A05,0.0203972088030059,0.2419484702093397,0.2623456790123457,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A06,-0.0001722652885443,0.2909560723514212,0.2907838070628768,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,deep4net,Deep4Net,16,A07,-0.0279449124214467,0.4271961492178098,0.3992512367963631,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
