panel,panel_title,row_type,condition,base,width_label,parameters,seed,subject,cc,mean_cc,sd_cc,ci95_low,ci95_high,source_file,aggregation
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A03,0.6970135834481981,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A03,0.6926326221889919,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A03,0.6817335486412048,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A04,0.7671263813972473,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A04,0.8100486662652757,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A04,0.8184601532088386,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A04,0.8214663929409451,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A04,0.8223958479033576,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A05,0.5693955421447754,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A05,0.6148624685075548,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A05,0.6114286382993063,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A05,0.6269554628266228,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A05,0.6362347536616855,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
