classifier,recipe,subject,base,sdr_db,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_train_contamination_seeds,n_test_contamination_seeds,n_checkpoint_seeds,n_classifier_seed_values,subject_mean_sdr_db,subject_mean_delta_accuracy,centered_sdr_db,centered_delta_accuracy,source_file,aggregation
csp_lda,eog,A01,6,2.485444107055664,-0.11387900355871883,25,5,5,5,5,0,2.3308446350097656,-0.12025622775800708,0.15459947204589852,0.006377224199288253,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A01,8,2.560524559020996,-0.09793594306049817,25,5,5,5,5,0,2.3308446350097656,-0.12025622775800708,0.2296799240112306,0.022320284697508908,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A01,16,2.4072469520568847,-0.08284697508896793,25,5,5,5,5,0,2.3308446350097656,-0.12025622775800708,0.07640231704711908,0.03740925266903915,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A02,2,1.387438883781433,-0.16070671378091866,25,5,5,5,5,0,1.370092049598694,-0.1474204946996466,0.01734683418273919,-0.01328621908127206,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A02,4,1.3065577363967895,-0.1417667844522968,25,5,5,5,5,0,1.370092049598694,-0.1474204946996466,-0.06353431320190439,0.0056537102473498135,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A02,6,1.3560295581817627,-0.1477031802120141,25,5,5,5,5,0,1.370092049598694,-0.1474204946996466,-0.014062491416931167,-0.0002826855123674865,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A02,8,1.4512140989303588,-0.14431095406360417,25,5,5,5,5,0,1.370092049598694,-0.1474204946996466,0.08112204933166489,0.003109540636042435,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A02,16,1.349219970703125,-0.14261484098939925,25,5,5,5,5,0,1.370092049598694,-0.1474204946996466,-0.02087207889556897,0.004805653710247354,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A03,2,2.0487347936630247,-0.1727472527472527,25,5,5,5,5,0,2.0629271488189698,-0.10605128205128203,-0.01419235515594508,-0.06669597069597066,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A03,4,2.0419758462905886,-0.1536996336996337,25,5,5,5,5,0,2.0629271488189698,-0.10605128205128203,-0.020951302528381177,-0.047648351648351656,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A03,6,2.0666809272766113,-0.09318681318681314,25,5,5,5,5,0,2.0629271488189698,-0.10605128205128203,0.0037537784576415767,0.01286446886446889,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A03,8,2.1264514923095703,-0.06036630036630035,25,5,5,5,5,0,2.0629271488189698,-0.10605128205128203,0.06352434349060054,0.04568498168498168,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A03,16,2.030792684555054,-0.05025641025641022,25,5,5,5,5,0,2.0629271488189698,-0.10605128205128203,-0.03213446426391586,0.05579487179487181,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A04,2,1.549818754196167,-0.1889473684210526,25,5,5,5,5,0,1.347657232761383,-0.09684210526315785,0.20216152143478405,-0.09210526315789476,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A04,4,1.3156182670593262,-0.08877192982456135,25,5,5,5,5,0,1.347657232761383,-0.09684210526315785,-0.032038965702056776,0.008070175438596505,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A04,6,1.302065212726593,-0.07175438596491224,25,5,5,5,5,0,1.347657232761383,-0.09684210526315785,-0.045592020034789904,0.025087719298245617,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A04,8,1.2688886690139771,-0.08333333333333329,25,5,5,5,5,0,1.347657232761383,-0.09684210526315785,-0.07876856374740582,0.013508771929824567,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A04,16,1.301895260810852,-0.051403508771929785,25,5,5,5,5,0,1.347657232761383,-0.09684210526315785,-0.04576197195053089,0.04543859649122807,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A05,2,0.5846082615852356,0.021449275362318835,25,5,5,5,5,0,0.5863100481033325,0.022347826086956506,-0.0017017865180969372,-0.0008985507246376707,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A05,4,0.6865716207027436,0.03347826086956521,25,5,5,5,5,0,0.5863100481033325,0.022347826086956506,0.10026157259941104,0.011130434782608702,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A05,6,0.5200315380096435,0.024202898550724626,25,5,5,5,5,0,0.5863100481033325,0.022347826086956506,-0.06627851009368901,0.0018550724637681204,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A05,8,0.6252116334438323,0.019275362318840562,25,5,5,5,5,0,0.5863100481033325,0.022347826086956506,0.03890158534049981,-0.0030724637681159433,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A05,16,0.5151271867752075,0.013333333333333313,25,5,5,5,5,0,0.5863100481033325,0.022347826086956506,-0.07118286132812501,-0.009014492753623192,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A06,2,1.1493053197860719,-0.0626976744186046,25,5,5,5,5,0,0.542466885142494,-0.03806511627906973,0.6068384346435779,-0.024632558139534876,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
